hash,lines,bytes,reps,mean_ns,min_ns,max_ns,mb_per_s
Ratas v0.1,1,70,100000,157.6,155.6,161.9,444.14
Ratas v0.1,2,123,66666,205.0,203.3,206.4,600.08
Ratas v0.1,4,205,66666,280.9,279.2,281.9,729.73
Ratas v0.1,8,362,40000,427.3,425.7,430.3,847.18
Ratas v0.1,16,996,18181,1030.9,1025.4,1043.7,966.14
Ratas v0.1,32,1841,11111,1860.7,1846.3,1880.4,989.39
Ratas v0.1,64,3712,5405,3604.8,3595.2,3621.8,1029.73
Ratas v0.1,128,9155,2298,8700.1,8673.2,8739.0,1052.28
Ratas v0.1,256,20409,1041,19613.3,19168.1,20389.7,1040.57
Ratas v0.1,512,47434,412,44930.2,44506.8,46844.2,1055.73
Ratas v0.1,789,75595,282,70861.0,70815.6,70976.6,1066.81
MD5,1,70,66666,271.3,270.2,272.5,257.98
MD5,2,123,40000,347.8,347.1,349.0,353.60
MD5,4,205,25000,424.3,422.9,427.1,483.15
MD5,8,362,33333,580.5,577.4,583.9,623.55
MD5,16,996,14285,1364.7,1361.6,1367.9,729.82
MD5,32,1841,7692,2390.9,2383.7,2398.5,769.99
MD5,64,3712,4166,4763.2,4747.1,4792.0,779.31
MD5,128,9155,1739,11444.4,11386.8,11466.1,799.96
MD5,256,20409,800,25238.8,25175.8,25299.1,808.64
MD5,512,47434,342,58512.0,58174.3,58848.0,810.67
MD5,789,75595,216,93163.6,92992.1,93389.4,811.42
SHA-1,1,70,40000,251.3,248.8,253.6,278.55
SHA-1,2,123,50000,319.9,315.8,326.7,384.54
SHA-1,4,205,50000,395.1,386.1,421.7,518.85
SHA-1,8,362,40000,547.2,543.2,550.0,661.50
SHA-1,16,996,18181,1216.7,1205.8,1223.6,818.61
SHA-1,32,1841,10526,2115.9,2090.8,2156.5,870.07
SHA-1,64,3712,5128,4363.0,4108.3,4741.4,850.79
SHA-1,128,9155,2173,10545.2,10401.5,10690.2,868.17
SHA-1,256,20409,985,23367.4,22987.5,23652.2,873.40
SHA-1,512,47434,430,54432.4,53508.8,58403.5,871.43
SHA-1,789,75595,254,85287.9,83064.6,87087.0,886.35
SHA-256,1,70,100000,186.3,183.1,189.5,375.79
SHA-256,2,123,100000,213.0,210.4,219.7,577.51
SHA-256,4,205,100000,216.9,208.5,240.7,945.02
SHA-256,8,362,66666,258.3,253.3,274.1,1401.32
SHA-256,16,996,40000,502.3,498.2,516.3,1982.99
SHA-256,32,1841,25000,866.9,809.8,1003.9,2123.72
SHA-256,64,3712,13333,1874.7,1738.1,2024.9,1980.00
SHA-256,128,9155,5555,4440.0,4006.9,4850.9,2061.95
SHA-256,256,20409,2564,9773.1,9004.4,10379.0,2088.28
SHA-256,512,47434,1117,18852.2,18191.5,19502.8,2516.10
SHA-256,789,75595,706,29116.9,28635.0,30363.5,2596.26
