hash,mode,bits,bin_bits,bin_percent,count
Ratas v0.1,simbolis,256,96,37.500,1
Ratas v0.1,simbolis,256,97,37.891,4
Ratas v0.1,simbolis,256,98,38.281,2
Ratas v0.1,simbolis,256,99,38.672,3
Ratas v0.1,simbolis,256,100,39.062,5
Ratas v0.1,simbolis,256,101,39.453,14
Ratas v0.1,simbolis,256,102,39.844,20
Ratas v0.1,simbolis,256,103,40.234,32
Ratas v0.1,simbolis,256,104,40.625,64
Ratas v0.1,simbolis,256,105,41.016,78
Ratas v0.1,simbolis,256,106,41.406,109
Ratas v0.1,simbolis,256,107,41.797,148
Ratas v0.1,simbolis,256,108,42.188,223
Ratas v0.1,simbolis,256,109,42.578,294
Ratas v0.1,simbolis,256,110,42.969,392
Ratas v0.1,simbolis,256,111,43.359,545
Ratas v0.1,simbolis,256,112,43.750,710
Ratas v0.1,simbolis,256,113,44.141,862
Ratas v0.1,simbolis,256,114,44.531,1045
Ratas v0.1,simbolis,256,115,44.922,1317
Ratas v0.1,simbolis,256,116,45.312,1666
Ratas v0.1,simbolis,256,117,45.703,1951
Ratas v0.1,simbolis,256,118,46.094,2296
Ratas v0.1,simbolis,256,119,46.484,2584
Ratas v0.1,simbolis,256,120,46.875,3084
Ratas v0.1,simbolis,256,121,47.266,3384
Ratas v0.1,simbolis,256,122,47.656,3919
Ratas v0.1,simbolis,256,123,48.047,3977
Ratas v0.1,simbolis,256,124,48.438,4483
Ratas v0.1,simbolis,256,125,48.828,4629
Ratas v0.1,simbolis,256,126,49.219,4708
Ratas v0.1,simbolis,256,127,49.609,4892
Ratas v0.1,simbolis,256,128,50.000,4962
Ratas v0.1,simbolis,256,129,50.391,4877
Ratas v0.1,simbolis,256,130,50.781,4889
Ratas v0.1,simbolis,256,131,51.172,4606
Ratas v0.1,simbolis,256,132,51.562,4493
Ratas v0.1,simbolis,256,133,51.953,4092
Ratas v0.1,simbolis,256,134,52.344,3860
Ratas v0.1,simbolis,256,135,52.734,3423
Ratas v0.1,simbolis,256,136,53.125,3032
Ratas v0.1,simbolis,256,137,53.516,2654
Ratas v0.1,simbolis,256,138,53.906,2284
Ratas v0.1,simbolis,256,139,54.297,1905
Ratas v0.1,simbolis,256,140,54.688,1568
Ratas v0.1,simbolis,256,141,55.078,1279
Ratas v0.1,simbolis,256,142,55.469,1110
Ratas v0.1,simbolis,256,143,55.859,874
Ratas v0.1,simbolis,256,144,56.250,715
Ratas v0.1,simbolis,256,145,56.641,521
Ratas v0.1,simbolis,256,146,57.031,399
Ratas v0.1,simbolis,256,147,57.422,327
Ratas v0.1,simbolis,256,148,57.812,189
Ratas v0.1,simbolis,256,149,58.203,135
Ratas v0.1,simbolis,256,150,58.594,117
Ratas v0.1,simbolis,256,151,58.984,81
Ratas v0.1,simbolis,256,152,59.375,47
Ratas v0.1,simbolis,256,153,59.766,40
Ratas v0.1,simbolis,256,154,60.156,23
Ratas v0.1,simbolis,256,155,60.547,27
Ratas v0.1,simbolis,256,156,60.938,10
Ratas v0.1,simbolis,256,157,61.328,6
Ratas v0.1,simbolis,256,158,61.719,5
Ratas v0.1,simbolis,256,159,62.109,3
Ratas v0.1,simbolis,256,160,62.500,4
Ratas v0.1,simbolis,256,161,62.891,1
Ratas v0.1,simbolis,256,162,63.281,1
MD5,simbolis,128,40,31.250,1
MD5,simbolis,128,41,32.031,4
MD5,simbolis,128,42,32.812,2
MD5,simbolis,128,43,33.594,7
MD5,simbolis,128,44,34.375,11
MD5,simbolis,128,45,35.156,30
MD5,simbolis,128,46,35.938,42
MD5,simbolis,128,47,36.719,83
MD5,simbolis,128,48,37.500,126
MD5,simbolis,128,49,38.281,211
MD5,simbolis,128,50,39.062,338
MD5,simbolis,128,51,39.844,478
MD5,simbolis,128,52,40.625,723
MD5,simbolis,128,53,41.406,1108
MD5,simbolis,128,54,42.188,1415
MD5,simbolis,128,55,42.969,2001
MD5,simbolis,128,56,43.750,2640
MD5,simbolis,128,57,44.531,3331
MD5,simbolis,128,58,45.312,4057
MD5,simbolis,128,59,46.094,4853
MD5,simbolis,128,60,46.875,5453
MD5,simbolis,128,61,47.656,6086
MD5,simbolis,128,62,48.438,6765
MD5,simbolis,128,63,49.219,6952
MD5,simbolis,128,64,50.000,6973
MD5,simbolis,128,65,50.781,6828
MD5,simbolis,128,66,51.562,6537
MD5,simbolis,128,67,52.344,6203
MD5,simbolis,128,68,53.125,5467
MD5,simbolis,128,69,53.906,4743
MD5,simbolis,128,70,54.688,4070
MD5,simbolis,128,71,55.469,3332
MD5,simbolis,128,72,56.250,2662
MD5,simbolis,128,73,57.031,1885
MD5,simbolis,128,74,57.812,1503
MD5,simbolis,128,75,58.594,1087
MD5,simbolis,128,76,59.375,701
MD5,simbolis,128,77,60.156,470
MD5,simbolis,128,78,60.938,329
MD5,simbolis,128,79,61.719,201
MD5,simbolis,128,80,62.500,134
MD5,simbolis,128,81,63.281,63
